linha;grupo;subgrupo;tipo_mercadoria;fabricante
Remediação;Elevador de Liquidos Fixo;Produto;CONTADOR DE CICLOS;Clean
Remediação;Elevador de Liquidos Fixo;Produto;CONTADOR DE CICLOS;QED
Remediação;Elevador de Liquidos Fixo;Insumo;Filtro;QED
Remediação;Elevador de Liquidos Fixo;Produto;GENIE;
Remediação;Elevador de Liquidos Fixo;Produto;GENIE;QED
Remediação;Elevador de Liquidos Fixo;Produto;NDP - 25 BAN;Clean
Remediação;Elevador de Liquidos Fixo;Produto;Numatic;QED
Remediação;Elevador de Liquidos Fixo;Reposição;Sensor;QED
Remediação;Elevador de Liquidos Fixo;Produto;Sistema;Clean
Remediação;Elevador de Liquidos Fixo;Produto;SOS-4-003;QED
Remediação;Filtração Diversos;Produto;Sistema;Clean
Remediação;Medidor de Nivel Diversos;Reposição;Acessório;HER
Remediação;Medidor de Nivel Diversos;Reposição;Acessório;QED
Remediação;Medidor de Nivel Diversos;Reposição;Anel;HER
Remediação;Medidor de Nivel Diversos;Reposição;Cabo;HER
Remediação;Medidor de Nivel Diversos;Produto;Controlador;Clean
Remediação;Medidor de Nivel Diversos;Reposição;Sensor;HER
Remediação;Medidor de Nivel Fixo;Produto;DIPPERLOG;
Remediação;Medidor de Nivel Fixo;Produto;DIPPERLOG;HER
Remediação;Medidor de Nivel Fixo;Produto;DIPPER TOUGH;HER
Remediação;Medidor de Nivel Portátil;Produto;CONDUCTIVITY PLUS;HER
Remediação;Medidor de Nivel Portátil;Produto;DIPPER-T;
Remediação;Medidor de Nivel Portátil;Produto;DIPPER-T;HER
Remediação;Medidor de Nivel Portátil;Produto;DIPPER TOUGH;HER
Remediação;Medidor de Nivel Portátil;Produto;H.OIL;HER
Remediação;Medidor de Nivel Portátil;Produto;MP30;QED
Remediação;Medidor de Nivel Portátil;Produto;SKINNY DIPPER;HER
Remediação;Medidor de Nivel Portátil;Produto;SM.OIL;HER
Remediação;Medidor de Nivel Portátil;Produto;WATER TAPE;HER
Remediação;Medidor de Nivel Portátil;Produto;WellTape;SHANGHAI
Remediação;MODFLOW Diversos;Produto;Sistema;waterloo
Remediação;Outros Diversos;Produto;Acessório;QED
Remediação;Outros Diversos;Reposição;Acessório;
Remediação;Outros Diversos;Reposição;Acessório;QED
Remediação;Outros Diversos;Insumo;Diversos;Clean
Remediação;Outros Diversos;Produto;Outros;Clean
Remediação;Outros Diversos;Produto;REMOX;ISCO
Remediação;Outros Diversos;Produto;Sistema;Clean
Remediação;Outros Diversos;Produto;Vapor pin/ Clean;Clean
